web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680878328-452","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","01:30","Parcialmente cubierto","20°","7 km/h","94%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-453","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","02:00","Parcialmente cubierto","20°","7 km/h","94%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-454","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","02:30","Parcialmente cubierto","21°","7 km/h","88%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-455","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","03:00","Parcialmente cubierto","21°","6 km/h","88%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-456","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","03:30","Parcialmente cubierto","21°","7 km/h","88%","1012 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-457","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","04:00","Parcialmente cubierto","20°","9 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-458","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","04:30","Parcialmente cubierto","20°","9 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-459","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","05:00","Parcialmente cubierto","20°","9 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-460","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","05:30","Nubes dispersas","20°","7 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-461","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","06:00","Nubes dispersas","20°","6 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-462","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","06:30","Nubes dispersas","20°","7 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-463","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","07:00","Nubes dispersas","20°","7 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-464","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","07:30","Nubes dispersas","20°","7 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-465","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","08:00","Nubes dispersas","20°","9 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-466","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","08:30","Nubes dispersas","21°","6 km/h","83%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-467","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","09:00","Nubes dispersas","21°","2 km/h","88%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-468","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","09:30","Nubes dispersas","22°","En calma","83%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-469","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","10:00","Nubes dispersas","22°","6 km/h","83%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-470","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","10:30","Nubes dispersas","22°","7 km/h","83%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-471","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","11:00","Nubes dispersas","23°","7 km/h","78%","1016 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-472","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","11:30","Nubes dispersas","23°","7 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-473","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","12:00","Nubes dispersas","23°","7 km/h","83%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-474","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","12:30","Nubes dispersas","24°","6 km/h","69%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-475","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","13:00","Nubes dispersas","24°","9 km/h","69%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-476","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","13:30","Nubes dispersas","24°","13 km/h","74%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-477","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","14:00","Nubes dispersas","24°","13 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-478","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","14:30","Nubes dispersas","24°","9 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-479","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","15:00","Nubes dispersas","23°","15 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-480","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","15:30","Nubes dispersas","24°","17 km/h","74%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-481","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","16:00","Nubes dispersas","24°","17 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-482","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","16:30","Nubes dispersas","24°","13 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-483","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","17:00","Nubes dispersas","23°","9 km/h","83%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-484","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","17:30","Nubes dispersas","22°","7 km/h","88%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-485","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","18:00","Nubes dispersas","22°","6 km/h","88%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-486","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","18:30","Nubes dispersas","22°","7 km/h","88%","1015 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-487","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","19:00","Nubes dispersas","21°","7 km/h","94%","1016 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-488","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","19:30","Nubes dispersas","21°","6 km/h","88%","1016 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-489","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","20:00","Nubes dispersas","21°","2 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-490","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","20:30","Despejado","21°","En calma","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-491","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","21:00","Despejado","21°","En calma","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-492","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","21:30","Despejado","21°","4 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-493","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","22:00","Despejado","21°","4 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-494","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","22:30","Nubes dispersas","21°","En calma","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-495","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","23:00","Nubes dispersas","21°","4 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878328-496","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 9 Diciembre 2022","23:30","Nubes dispersas","20°","4 km/h","94%","1018 hPa","https://www.tutiempo.net/registros/gclp/9-diciembre-2022.html"
"1680878330-497","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","00:00","Nubes dispersas","21°","4 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-498","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-499","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","00:30","Nubes dispersas","21°","6 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-500","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","01:00","Parcialmente cubierto","20°","7 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-501","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","01:30","Mayormente cubierto","21°","6 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-502","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","02:00","Lluvia","21°","7 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-503","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","02:30","Nubes dispersas","21°","6 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-504","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","03:00","Nubes dispersas","21°","7 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-505","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","03:30","Nubes dispersas","20°","En calma","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-506","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","04:00","Mayormente cubierto","20°","4 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-507","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","04:30","Mayormente cubierto","21°","4 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-508","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","05:00","Mayormente cubierto","20°","6 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-509","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","05:30","Mayormente cubierto","20°","2 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-510","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","06:00","Parcialmente cubierto","20°","4 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-511","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","06:30","Nubes dispersas","20°","6 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-512","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","07:00","Nubes dispersas","19°","6 km/h","94%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-513","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","07:30","Nubes dispersas","20°","4 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-514","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","08:00","Nubes dispersas","20°","4 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-515","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","08:30","Nubes dispersas","20°","4 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-516","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","09:00","Nubes dispersas","21°","4 km/h","83%","1019 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-517","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","09:30","Nubes dispersas","21°","4 > 22 km/h","88%","1019 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-518","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","10:00","Nubes dispersas","23°","En calma","78%","1019 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-519","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","10:30","Nubes dispersas","22°","7 > 30 km/h","83%","1020 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-520","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","11:00","Nubes dispersas","23°","7 > 26 km/h","83%","1019 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-521","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","11:30","Nubes dispersas","23°","9 km/h","89%","1019 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-522","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","12:00","Nubes dispersas","23°","13 km/h","89%","1019 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-523","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","12:30","Nubes dispersas","24°","15 km/h","83%","1019 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-524","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","13:00","Nubes dispersas","24°","17 km/h","83%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-525","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","13:30","Nubes dispersas","24°","17 km/h","78%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-526","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","14:00","Nubes dispersas","24°","15 km/h","78%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-527","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","14:30","Nubes dispersas","23°","20 km/h","89%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-528","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","15:00","Nubes dispersas","23°","19 km/h","89%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-529","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","15:30","Nubes dispersas","23°","20 km/h","89%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-530","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","16:00","Parcialmente cubierto","23°","20 km/h","89%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-531","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","16:30","Mayormente cubierto","23°","20 km/h","89%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-532","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","17:00","Mayormente cubierto","22°","15 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-533","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","17:30","Mayormente cubierto","22°","15 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-534","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","18:00","Mayormente cubierto","22°","13 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-535","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","18:30","Mayormente cubierto","22°","11 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-536","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","19:00","Parcialmente cubierto","22°","7 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-537","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","19:30","Parcialmente cubierto","23°","4 > 22 km/h","83%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-538","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","20:00","Parcialmente cubierto","23°","6 km/h","83%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-539","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","20:30","Parcialmente cubierto","22°","4 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-540","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","21:00","Parcialmente cubierto","22°","4 km/h","88%","1019 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-541","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","21:30","Nubes dispersas","22°","4 km/h","88%","1019 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-542","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","22:00","Nubes dispersas","22°","2 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-543","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","22:30","Nubes dispersas","22°","4 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-544","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","23:00","Nubes dispersas","21°","6 km/h","94%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878330-545","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 10 Diciembre 2022","23:30","Nubes dispersas","21°","2 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/10-diciembre-2022.html"
"1680878333-546","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","00:00","Nubes dispersas","20°","7 km/h","94%","1018 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-547","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-548","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","00:30","Nubes dispersas","20°","7 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-549","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","01:00","Nubes dispersas","20°","11 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-550","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","01:30","Nubes dispersas","20°","11 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-551","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","02:00","Nubes dispersas","21°","9 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-552","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","02:30","Nubes dispersas","20°","4 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-553","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","03:00","Nubes dispersas","20°","2 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-554","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","03:30","Nubes dispersas","20°","6 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-555","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","04:00","Nubes dispersas","21°","7 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-556","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","04:30","Nubes dispersas","20°","9 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-557","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","05:00","Nubes dispersas","20°","6 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-558","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","05:30","Nubes dispersas","20°","7 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-559","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","06:00","Nubes dispersas","20°","4 km/h","94%","1017 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-560","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","06:30","Nubes dispersas","20°","6 km/h","94%","1018 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-561","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","07:00","Nubes dispersas","20°","6 km/h","94%","1018 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-562","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","07:30","Nubes dispersas","20°","4 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-563","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","08:00","Nubes dispersas","20°","4 km/h","88%","1018 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-564","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","08:30","Nubes dispersas","20°","6 km/h","94%","1018 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-565","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","09:00","Nubes dispersas","21°","4 km/h","94%","1019 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-566","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","09:30","Nubes dispersas","22°","4 km/h","88%","1019 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-567","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","10:00","Nubes dispersas","23°","4 km/h","83%","1019 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
"1680878333-568","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 11 Diciembre 2022","10:30","Nubes dispersas","23°","4 km/h","83%","1019 hPa","https://www.tutiempo.net/registros/gclp/11-diciembre-2022.html"
