web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680878306-85","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","17:00","Nubes dispersas","23°","26 km/h","53%","1014 hPa",""
"1680878306-86","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","17:30","Parcialmente cubierto","22°","22 km/h","60%","1014 hPa",""
"1680878306-87","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","18:00","Parcialmente cubierto","22°","20 km/h","57%","1014 hPa",""
"1680878306-88","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","18:30","Parcialmente cubierto","22°","24 km/h","57%","1014 hPa",""
"1680878306-89","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","19:00","Parcialmente cubierto","21°","22 km/h","64%","1014 hPa",""
"1680878306-90","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","19:30","Parcialmente cubierto","21°","20 km/h","64%","1015 hPa",""
"1680878306-91","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","20:00","Mayormente cubierto","20°","22 km/h","78%","1015 hPa",""
"1680878306-92","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","20:30","Nubes dispersas","20°","17 km/h","78%","1015 hPa",""
"1680878306-93","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","21:00","Mayormente cubierto","19°","2 km/h","83%","1016 hPa",""
"1680878306-94","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","21:30","Mayormente cubierto","20°","9 km/h","78%","1016 hPa",""
"1680878306-95","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","22:00","Mayormente cubierto","20°","11 km/h","73%","1015 hPa",""
"1680878306-96","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","22:30","Llovizna","20°","9 km/h","78%","1016 hPa",""
"1680878306-97","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","23:00","Parcialmente cubierto","20°","7 km/h","78%","1016 hPa",""
"1680878306-98","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","23:30","Parcialmente cubierto","20°","9 km/h","73%","1015 hPa",""
"1680878308-99","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","00:00","Parcialmente cubierto","20°","13 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-100","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-101","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","00:30","Parcialmente cubierto","19°","7 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-102","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","01:00","Nubes dispersas","19°","11 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-103","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","01:30","Nubes dispersas","19°","7 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-104","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","02:00","Nubes dispersas","18°","7 km/h","77%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-105","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","02:30","Parcialmente cubierto","18°","4 km/h","77%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-106","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","03:00","Nubes dispersas","19°","6 km/h","73%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-107","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","03:30","Nubes dispersas","18°","7 km/h","73%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-108","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","04:00","Nubes dispersas","18°","En calma","73%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-109","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","04:30","Parcialmente cubierto","19°","13 km/h","78%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-110","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","05:00","Mayormente cubierto","19°","15 km/h","78%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-111","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","05:30","Mayormente cubierto","19°","15 km/h","78%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-112","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","05:45","Lluvia","18°","22 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-113","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","06:00","Lluvia","18°","20 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-114","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","06:30","Mayormente cubierto","18°","13 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-115","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","07:00","Mayormente cubierto","18°","7 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-116","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","07:30","Llovizna","18°","7 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-117","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","08:00","Mayormente cubierto","18°","7 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-118","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","08:30","Mayormente cubierto","19°","11 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-119","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","08:40","Llovizna","19°","15 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-120","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","09:00","Llovizna","18°","13 km/h","94%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-121","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","09:30","Parcialmente cubierto","20°","11 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-122","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","10:00","Parcialmente cubierto","21°","22 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-123","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","10:30","Parcialmente cubierto","22°","17 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-124","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","11:00","Parcialmente cubierto","20°","22 km/h","83%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
